Time,U1_nodamp,U1_tmd,U2_nodamp,U2_tmd,U3_nodamp,U3_tmd
0.01,0.0,0.0,0.0,0.0,0.0,0.0
0.02,-2.6897979446538558e-08,-2.6897979446538558e-08,-2.689999978633941e-08,-2.689999978633941e-08,-2.6899999999977404e-08,-2.6899999999977404e-08
0.03,-1.0738309414840443e-07,-1.0738309414840443e-07,-1.0739999767176405e-07,-1.0739999767176404e-07,-1.0739999999969661e-07,-1.073999999996967e-07
0.04,-2.4113877718514495e-07,-2.4113877718514495e-07,-2.4119998829308544e-07,-2.411999882930854e-07,-2.4119999999806386e-07,-2.4119999999806465e-07
0.05,-4.27844042877293e-07,-4.2784404287729304e-07,-4.2799996030755373e-07,-4.279999603075533e-07,-4.2799999999175807e-07,-4.2799999999176225e-07
0.06,-6.67190182083949e-07,-6.671901820839494e-07,-6.675165604902809e-07,-6.675165604902799e-07,-6.67516666639575e-07,-6.67516666639592e-07
0.07,-9.588807888634457e-07,-9.58880788863447e-07,-9.594830908030234e-07,-9.59483090803022e-07,-9.594833332588762e-07,-9.594833332589313e-07
0.08,-1.3024151426990623e-06,-1.3024151426990657e-06,-1.3034328384393918e-06,-1.3034328384393899e-06,-1.3034333331538324e-06,-1.3034333331539834e-06
0.09,-1.6972216109945682e-06,-1.6972216109945754e-06,-1.6988324055218168e-06,-1.6988324055218162e-06,-1.6988333329417841e-06,-1.6988333329421536e-06
0.1,-2.1429410175459685e-06,-2.142941017545982e-06,-2.1453650384548163e-06,-2.1453650384548163e-06,-2.145366665877355e-06,-2.1453666658781774e-06
0.11,-2.6394099732238096e-06,-2.639409973223829e-06,-2.6429139569316667e-06,-2.642913956931667e-06,-2.642916665173916e-06,-2.642916665175617e-06
0.12,-3.1864942094526235e-06,-3.186494209452647e-06,-3.1913956825924706e-06,-3.1913956825924736e-06,-3.191399997321981e-06,-3.1913999973252915e-06
0.13,-3.783755291121494e-06,-3.783755291121522e-06,-3.790426700672978e-06,-3.7904267006729834e-06,-3.7904333287374e-06,-3.7904333287435263e-06
0.14,-4.430584033883866e-06,-4.430584033883899e-06,-4.439456787989915e-06,-4.439456787989922e-06,-4.439466659072222e-06,-4.439466659083082e-06
0.15,-5.126750534281113e-06,-5.126750534281156e-06,-5.138319007268147e-06,-5.138319007268159e-06,-5.1383333211877004e-06,-5.138333321206244e-06
0.16,-5.87235413083157e-06,-5.872354130831618e-06,-5.887179701135128e-06,-5.887179701135145e-06,-5.88719998112224e-06,-5.887199981152883e-06
0.17,-6.667973325792325e-06,-6.667973325792375e-06,-6.686688485770968e-06,-6.686688485770992e-06,-6.686716638053745e-06,-6.6867166381029444e-06
0.18,-7.514199038002034e-06,-7.514199038002084e-06,-7.537511577538764e-06,-7.537511577538799e-06,-7.5375499575890785e-06,-7.537549957666068e-06
0.19,-8.410301365642144e-06,-8.410301365642193e-06,-8.438998452608182e-06,-8.438998452608231e-06,-8.439049938380024e-06,-8.439049938497768e-06
0.2,-9.354479870934656e-06,-9.354479870934705e-06,-9.389431839615336e-06,-9.389431839615417e-06,-9.389499912065104e-06,-9.389499912241507e-06
0.21,-1.034543043670862e-05,-1.0345430436708678e-05,-1.0387594378722245e-05,-1.038759437872239e-05,-1.0387683209869937e-05,-1.0387683210129347e-05
0.22,-1.1382528606992505e-05,-1.1382528606992577e-05,-1.143295194706648e-05,-1.143295194706673e-05,-1.1433066495865423e-05,-1.1433066496240498e-05
0.23,-1.2465262916391703e-05,-1.2465262916391785e-05,-1.2525086983921027e-05,-1.2525086983921423e-05,-1.2525233100216383e-05,-1.2525233100750388e-05
0.24,-1.3593301580570587e-05,-1.3593301580570662e-05,-1.3663765148900913e-05,-1.3663765148901505e-05,-1.3663949685753302e-05,-1.3663949686502901e-05
0.25,-1.4767442399600312e-05,-1.4767442399600377e-05,-1.4849885313209515e-05,-1.48498853132104e-05,-1.4850116247866393e-05,-1.4850116248905001e-05
0.26,-1.598904588604271e-05,-1.598904588604276e-05,-1.60849128838972e-05,-1.6084912883898527e-05,-1.608519944772117e-05,-1.6085199449142978e-05
0.27,-1.7258085262975486e-05,-1.7258085262975526e-05,-1.736892979446296e-05,-1.7368929794464932e-05,-1.736928261212806e-05,-1.7369282614052856e-05
0.28,-1.8572480134404306e-05,-1.8572480134404322e-05,-1.8699967828518945e-05,-1.869996782852184e-05,-1.870039906673193e-05,-1.8700399069310773e-05
0.29,-1.992934691492337e-05,-1.9929346914923354e-05,-2.007525860991737e-05,-2.0075258609921557e-05,-2.0075782135854004e-05,-2.007578213927591e-05
0.3,-2.1327265656915426e-05,-2.13272656569154e-05,-2.1493500259356515e-05,-2.1493500259362478e-05,-2.1494131808985294e-05,-2.1494131813485055e-05
0.31,-2.2767363130777083e-05,-2.2767363130777086e-05,-2.295594071741632e-05,-2.2955940717424646e-05,-2.295669807393069e-05,-2.2956698079798033e-05
0.32,-2.425109584143544e-05,-2.4251095841435488e-05,-2.4464161067298525e-05,-2.4464161067309963e-05,-2.44650642499362e-05,-2.4465064257526292e-05
0.33,-2.577773345586819e-05,-2.577773345586828e-05,-2.6017558857285175e-05,-2.6017558857300723e-05,-2.6018630320798296e-05,-2.6018630330543915e-05
0.34,-2.734182621162402e-05,-2.734182621162414e-05,-2.761081475635902e-05,-2.7610814756379966e-05,-2.761207960128787e-05,-2.76120796137134e-05
0.35,-2.8936572563216432e-05,-2.8936572563216567e-05,-2.923725920979228e-05,-2.9237259209820225e-05,-2.9238745403554497e-05,-2.9238745419291997e-05
0.36,-3.056161918898728e-05,-3.056161918898744e-05,-3.0896672428036975e-05,-3.08966724280739e-05,-3.089841103684346e-05,-3.0898411056650904e-05
0.37,-3.2223643121144026e-05,-3.2223643121144196e-05,-3.259586770871573e-05,-3.25958677087641e-05,-3.2597893140524564e-05,-3.259789316530662e-05
0.38,-3.3927350857947935e-05,-3.392735085794809e-05,-3.4339691424886486e-05,-3.433969142494933e-05,-3.434204168376511e-05,-3.43420417145966e-05
0.39,-3.5673428558373836e-05,-3.567342855837397e-05,-3.612897301298066e-05,-3.612897301306172e-05,-3.6131689965179334e-05,-3.6131690003331744e-05
0.4,-3.7461775725971596e-05,-3.746177572597172e-05,-3.796375829386731e-05,-3.796375829397122e-05,-3.7966887945786596e-05,-3.796688799275805e-05
0.41,-3.929315520001695e-05,-3.929315520001703e-05,-3.984495946038234e-05,-3.98449594605148e-05,-3.984855224861074e-05,-3.9848552306159414e-05
0.42,-4.1171226064397924e-05,-4.1171226064397944e-05,-4.1776388397918856e-05,-4.177638839808684e-05,-4.178049949158599e-05,-4.178049956176759e-05
0.43,-4.309875988866118e-05,-4.3098759888661204e-05,-4.3760973338012824e-05,-4.37609733382247e-05,-4.376566295376846e-05,-4.376566303897823e-05
0.44,-4.506832499000912e-05,-4.506832499000923e-05,-4.579144217836682e-05,-4.579144217863269e-05,-4.5796775908185683e-05,-4.5796776011204934e-05
0.45,-4.706678846841899e-05,-4.70667884684192e-05,-4.785482246961465e-05,-4.7854822469946756e-05,-4.7860871621322636e-05,-4.7860871745370496e-05
0.46,-4.908781704937653e-05,-4.908781704937682e-05,-4.994494140229346e-05,-4.994494140270645e-05,-4.995178335257687e-05,-4.995178350136772e-05
