time(t), H.Exact(u), C.D(u1), C.D(v1), C.D(a1), N.L.A(u2), N.L.A(v2), N.L.A(a2)
0.0, 0.0, 0.0, 0.0, -0.001, 0.0, 0.0, -0.001
0.02, 4.2885194914563324e-07, -2.0000000000000002e-07, -2.4617256869680008e-05, -0.001461725686968001, -2.3002787024034799e-07, -2.45041805360522e-05, -0.0014504180536052194
0.04, 3.3988355339688867e-06, -9.846902747872004e-07, -7.278519757602718e-05, -0.0033550683836667166, -1.1349289358380624e-06, -7.222261823150057e-05, -0.0033214257159396143
0.06, 1.1327457944143539e-05, -3.1114079030410874e-06, -0.0001138004638850695, -0.0007464582472375162, -3.068856132349228e-06, -0.00011242958585427757, -0.000699271046338084
0.08, 2.6428792340827388e-05, -5.536708830189981e-06, -0.0001276465532832828, -0.0006381506925838142, -5.449958337755467e-06, -0.00012531344863899994, -0.0005891152321341533
0.1, 5.0645386440889204e-05, -8.2172700343724e-06, -0.00013418600796854532, -1.5794775942436936e-05, -8.032789969413084e-06, -0.00013090669514930107, 2.9790581104048586e-05
0.12, 8.55900547261704e-05, -1.0904149148931794e-05, -0.00013829508288609139, -0.00039511271581216766, -1.067058733637012e-05, -0.00013415412055599362, -0.00035453312177329693
0.14, 0.0001324992371435923, -1.3749073349816055e-05, -0.0001309656741547007, 0.001128053588951234, -1.3323892161609886e-05, -0.00012614215145624483, 0.0011557300317481811
0.16, 0.00019219920787962806, -1.6142776115119823e-05, -0.00010668963332290293, 0.0012995504942285442, -1.5605473260460657e-05, -0.0001015101622326079, 0.001307468890615518
0.18, 0.00026508598463907365, -1.8016658682732172e-05, -0.00011015416217704506, -0.0016460033796427578, -1.7570850308661298e-05, -0.00010486092167103541, -0.0016425448344582656
0.2, 0.00035111933626659925, -2.0548942602201625e-05, -0.00012886107369356137, -0.00022468777200887336, -1.9901926045938616e-05, -0.00012351406890494446, -0.0002227698889326335
0.22, 0.0004498308293172683, -2.3171101630474627e-05, -0.00014013588023005773, -0.0009027928816407626, -2.2462168830800187e-05, -0.00013478058103002054, -0.0009038813235749746
0.24, 0.0005603454069906327, -2.6154377811403935e-05, -0.00013681234412146385, 0.0012351464925001517, -2.519681625177581e-05, -0.00013159713785055278, 0.0012222256415217528
0.26, 0.0006814155707916549, -2.864359539533318e-05, -0.00014898971642188523, -0.0024528837225422906, -2.7830123887212984e-05, -0.00014402412602968834, -0.0024649244594353026
0.28, 0.000811466849448129, -3.2113966468279344e-05, -0.0001750109153907217, -0.000149236174341358, -3.1049874587156196e-05, -0.00017026510833775197, -0.00015917377137104893
