Time(s),Displacement(inch),Velocity(inch/s),Acceleration(inch/s^2)
0.0,0.0,0.0,0.002063921137163782
0.02,4.753554088087601e-07,5.0664099949676195e-05,0.0030024888578038364
0.04,2.3482988851677266e-06,0.00014958843297645426,0.006889944444873964
0.06,6.360397153284296e-06,0.00023373842981583726,0.0015250552390643373
0.08,1.1328114727084518e-05,0.0002624302240477151,0.0013441241841234222
0.1,1.6763378369168833e-05,0.0002769878563759833,0.00011163904870338218
0.12,2.2380948120039035e-05,0.00028754335939152996,0.0009439112528512753
0.14,2.8114901371853312e-05,0.0002755671564605682,-0.0021415315459474547
0.16,3.317789151483331e-05,0.0002297295239853377,-0.002442231701575593
0.18,3.769004953596681e-05,0.0002417869722151062,0.0036479765245524347
0.2,4.3060526047940035e-05,0.0002855177671202473,0.0007251029659616535
0.22,4.900975329666404e-05,0.000314097523408489,0.0021328726628625184
0.24,5.542555343806851e-05,0.0003128462477650667,-0.002258000227204754
0.26,6.173735152498083e-05,0.000343657219778763,0.005339097428574381
0.28,6.936097465849623e-05,0.00040283805618403977,0.0005789862119532806
0.3,7.748105473590136e-05,0.00040654603712315636,-0.00020818811804164468
0.32,8.493554478147981e-05,0.00030716331377087034,-0.009730084217186977
0.34,8.929241347387842e-05,0.00013650451848992148,-0.007335795310907923
0.36,9.07925250905075e-05,2.5365658623599366e-05,-0.0037780906757242947
0.38,9.028000316956759e-05,-8.982869863094378e-05,-0.007741345049730015
0.4,8.701784209049213e-05,-0.00023225331410213195,-0.006501116497388799
0.42,8.032319551544075e-05,-0.00047467919307955705,-0.01774147140035371
0.44,6.90417876055017e-05,-0.0005654380863282043,0.008665582075489014
0.46,5.87356664146855e-05,-0.0005016978267209125,-0.0022915561147598172
0.48,4.860827686068379e-05,-0.0004927972185108333,0.003181616935767752
0.5,3.786430496483901e-05,-0.0006578175167127287,-0.019683646755957258
0.52,2.2105529336824176e-05,-0.000851344843217194,0.00033091410551077814
0.54,5.209417523377246e-06,-0.0008350362266377591,0.0012999475524327335
0.56,-1.1754740756337073e-05,-0.000887550764205957,-0.0065514013092524805
0.58,-3.140935434556446e-05,-0.0011075764968796699,-0.015451171958118773
0.6,-5.634536166188824e-05,-0.0013707363841080396,-0.010864816764718165
0.62,-8.22736655091869e-05,-0.001039124641231539,0.04402599105236831
0.64,-9.865515544511733e-05,-0.0008192341184501692,-0.022036938774231307
0.66,-0.00011787454631970179,-0.0010240710065450148,0.0015532499647467638
0.68,-0.00013745174050353503,-0.0009039696141324247,0.01045688927651224
0.7,-0.00015228276313529219,-0.0005212830592638421,0.02781176621034609
0.72,-0.00015832401513511728,-0.00014173934354954143,0.010142605361083976
0.74,-0.00015995823838028616,-6.308085328709277e-05,-0.002276756334839101
0.76,-0.00015936818465246144,0.00023743732909628737,0.032328574573177116
0.78,-0.00015051388998388364,0.0005299837963623252,-0.003073927846573353
0.8,-0.00013982327146496245,0.000574364463579259,0.007511994568266725
0.82,-0.00012675693379795268,0.0007361017772102838,0.008661736794835726
0.84,-0.00011058342826376296,0.0008672049077595323,0.004448576260089047
0.86,-9.191194920307772e-05,0.0010218262809828297,0.01101356106224068
0.88,-7.105300185033695e-05,0.000975053930323051,-0.015690796128218623
0.9,-5.294727478692565e-05,0.0009226591601477808,0.010451319110691571
0.92,-3.244860327954634e-05,0.001124969214704419,0.0097796863449722
0.94,-8.544038380347938e-06,0.0012379494420212001,0.0015183363867059332
0.96,1.6902276610099106e-05,0.001325865000657597,0.007273219476933599
