Time (s),Displacement (in),Velocity (in/s),Acceleration (in/s^2),Acceleration (in/s²)
0.02,0.0,0.0,-0.57915,
0.04,-0.00018206350072985086,-0.018206350072985086,-1.2414850072985086,
0.06,-0.0006791356038127138,-0.0315008602353012,-0.08796600893310291,
0.08,-0.001305455810268627,-0.03113116041029012,0.12493599143421091,
0.1,-0.0018662993755235418,-0.02495319611520136,0.4928604380746651,
0.12,-0.002275292401074552,-0.015946106439899653,0.40784852945550526,
0.14,-0.002457836687102672,-0.0023083221629123674,0.9559298982432234,
0.16,-0.0023219440067025164,0.01589759020292795,0.8646613383408079,
0.18,-0.001965857814469908,0.019711029020332907,-0.483317456600312,
0.2,-0.0016340782190892632,0.013466930517731557,-0.14109239365982285,
0.22,-0.0014343540151732024,0.006505489873874521,-0.5550516707258808,
0.24,-0.001344694831197919,0.00246042852365381,0.15054553570380974,
0.26,-0.0014109693093440879,-0.009087876338270687,-1.3053760218962593,
0.28,-0.0017592150368418028,-0.025736696411500802,-0.35950598542675216,
0.3,-0.002318565606114805,-0.03019836051579941,-0.08666042500310872,
0.32,-0.0027557218800726437,-0.013517266879984467,1.754769788584603,
0.34,-0.002728512679409839,0.016238186946264947,1.2207755940403384,
0.36,-0.002247725963108986,0.031840484683820336,0.3394541797152004,
0.38,-0.0014982519500940502,0.043106916617673255,0.7871890136700916,
0.4,-0.000534947704160325,0.05322350797569927,0.2244701221325096,
0.42,0.000742622947189678,0.07453355715930103,1.9065347962276662,
0.44,0.0020884037511252735,0.06004452323425853,-3.3554381887319162,
0.46,0.0028146953936064555,0.012584641013859671,-1.3905500333079694,
0.48,0.0027107961052495657,-0.022974569849548647,-2.1653710530328625,
0.5,0.0022790759330731125,-0.02019744736809668,2.4430833011780595,
0.52,0.002023565492531881,-0.005353596686026476,-0.9586982329710392,
0.54,0.0017433740725706652,-0.022665545310095098,-0.7724966294358226,
0.56,0.0013217906173977382,-0.019492800207197604,1.0897711397255718,
0.58,0.0013379978933228298,0.021113527799706773,2.9708616609648657,
0.6,0.0022608918203056807,0.07117586489857831,2.0353720489222886,
0.62,0.003074799084789607,0.010214861549814346,-8.131472383798686,
0.64,0.002913724755180462,-0.02632229451072888,4.477756777744363,
0.66,0.0028658859020442647,0.021538409197109157,0.30831359303943984,
0.68,0.0032037185113167853,0.0122448517301429,-1.2376693397360654,
0.7,0.0029109239508466633,-0.0415243077771551,-4.139246610993735,
0.72,0.0016407541760941392,-0.08549266969809731,-0.25758958110048624,
0.74,0.00016573712060365621,-0.06200903585095098,2.6059529658151193,
0.76,-0.0011511822911107225,-0.06968290532048688,-3.373339912768709,
0.78,-0.0025237261506379743,-0.06757148063223832,3.584482381593565,
0.8,-0.003347995820121704,-0.01485548631613464,1.687117050016803,
0.82,-0.003355653656423313,0.014089702685973735,1.2074018501940347,
0.84,-0.002805847645670447,0.04089089838931286,1.4727177201398778,
0.86,-0.0018833217369596392,0.05136169248176791,-0.42563831089437265,
0.88,-0.0005311538867546721,0.08385509253872882,3.674978316590463,
0.9,0.0012947651460671603,0.09873681074345445,-2.1868064961179003,
0.92,0.0027638166658348843,0.04816834123331793,-2.8700404548957508,
0.94,0.0032621296274843387,0.0016629549316275055,-1.7804981752732916,
0.96,0.0028235644786677814,-0.04551946981328324,-2.9377442992177825,
0.98,0.001542935518247414,-0.0825434262287535,-0.7646513423292438,
1.0,-0.00025499714172710973,-0.09724983976869886,-0.7059900116652913,
1.02,-0.002000748447813014,-0.07732529083989159,2.698444904546019,
1.04,-0.003624042187363607,-0.08500408311516766,-3.466324132073626,
1.06,-0.005363528118648183,-0.08894451001328992,3.0722814422614007,
1.08,-0.006407971912913655,-0.015499869413257358,4.272182617741855,
1.1,-0.00639559681128482,0.016737379576140944,-1.048457718802025,
1.12,-0.006114747455982996,0.01134755595404138,0.5094753565920684,
1.14,-0.005363368115613727,0.06379037808288553,4.734806856292346,
1.16,-0.002911594896183758,0.18138694386011142,7.024849721430243,
1.18,0.001040381813251532,0.2138107270834175,-3.7824713990996344,
1.2,0.004965071678642463,0.17865825945567557,0.2672246363254418,
1.22,0.008343680929093928,0.15920266558947088,-2.21278402294591,
1.24,0.011160561699933937,0.12248541149453,-1.4589413865481777,
1.26,0.012728619871387539,0.034320405650830194,-7.357559197821804,
1.28,0.011546029151919442,-0.15257947759763987,-11.332429127025204,
