Time (s),Displacement (in),Velocity (in/s),Acceleration (in/s²)
0.0,0.0,0.0,-0.38610000000000005
0.02,-9.43251610495057e-05,-0.009432516104950571,-0.5571516104950569
0.04,-0.00046506760410347416,-0.02764172820044628,-1.2637695990545137
0.06,-0.0011677242500103696,-0.04262393639024326,-0.23445121992518447
0.08,-0.0020595904793972975,-0.04656268654844953,-0.15942379589544214
0.1,-0.0029957599674119654,-0.04705426225301726,0.11026622543866899
0.12,-0.003926664578847555,-0.04603619889054168,-0.008459889191111125
0.14,-0.004788968655945919,-0.04019420881929477,0.5926588963158022
0.16,-0.00546739717472948,-0.02764864305906126,0.6618976797075491
0.18,-0.0060013496883882834,-0.025746608306819116,-0.4716942044833346
0.2,-0.006557029092706504,-0.029821332125002917,0.06422182266495441
0.22,-0.0071677198771816514,-0.031247746322511857,-0.2068632424158484
0.24,-0.007753934571592356,-0.027373723118558634,0.5942655628111706
0.26,-0.008325856724127343,-0.029818492134939995,-0.8387424644493067
0.28,-0.009003551284287844,-0.03795096388111009,0.025495289832296986
0.3,-0.009744726634461694,-0.03616657113627493,0.1529439846512195
0.32,-0.010263493340369818,-0.01571009945453747,1.8927031835225268
0.34,-0.010249295766381995,0.017129856853319775,1.3912924472631973
0.36,-0.009703024925477937,0.037497227237086025,0.6454445911134272
0.38,-0.00876045273245952,0.05675999206475561,1.2808318916535317
0.4,-0.007403608909210431,0.07892439026015334,0.9356079278862406
0.42,-0.005442329642301383,0.11720353643075142,2.8923066891735667
0.44,-0.003025127299135658,0.12451669788582112,-2.160990543666597
0.46,-0.0007756710075536452,0.10042893127238015,-0.24778611767750114
0.48,0.0010736510756361988,0.08450327704660424,-1.3447793049000896
0.5,0.002914550196101098,0.09958663499988568,2.8531151002282344
0.52,0.0051004827420085075,0.11900661959085523,-0.9111166411312792
0.54,0.00727781937199522,0.09872704340781598,-1.1168409771726464
0.56,0.009176452920312756,0.09113631142393766,0.35776777878481525
0.58,0.011239700997631448,0.11518849630793149,2.0474507096145675
0.6,0.013870768510184985,0.14791825494742222,1.2255251543345054
0.62,0.01605979513812908,0.0709844078469872,-8.918909864378007
0.64,0.016938036874055085,0.01683976574561339,3.5044456542406257
0.66,0.01755577652657546,0.04493419950642398,-0.695002278159567
0.68,0.018168266352809864,0.01631478311701648,-2.166939360781183
0.7,0.017761530802564443,-0.05698833814155853,-5.163372765076318
0.72,0.015946976983091218,-0.12446704380576401,-1.58449780134423
0.74,0.01340414516206909,-0.12981613829644875,1.0495883522757556
0.76,0.010406404796718133,-0.1699578982386469,-5.063764346495571
0.78,0.006684593645362835,-0.20222321689688294,1.8372324806719682
0.8,0.0028401123676809943,-0.18222491087130113,0.16259812188621248
0.82,-0.0007704732463826435,-0.17883365053506264,0.17652791173763638
0.84,-0.004216998128767638,-0.16581883770343678,1.1249533714249509
0.86,-0.007420950636277759,-0.15457641304757533,-0.000710905838805509
