Time(s),Displacement(m),Velocity(m/s),Acceleration(m/s^2)
0.0,0.0,0.0,0.0002993462379939932
0.02,3.2020897411297874e-08,1.8096722317547495e-06,-0.00011837901481851837
0.04,5.811351622070255e-08,1.478338506086386e-06,8.524564225168197e-05
0.06,5.924072302390926e-08,-3.6400524142085857e-06,-0.0005970847342811792
0.08,-3.214430487300327e-08,-4.568020133079168e-07,0.000915409774371246
0.1,4.343167348270705e-08,3.095903036259922e-06,-0.0005601392694144626
0.12,2.9483946215620916e-08,-2.682572468438139e-06,-1.7708281055343455e-05
0.14,-1.1692965093049232e-08,-6.343089488708094e-07,0.0002225346330120765
0.16,2.1710564477903597e-09,1.1228747987467927e-06,-4.6816258250316294e-05
0.18,3.7797114688095395e-08,3.5663217210553337e-06,0.00029116095048117033
0.2,9.031296639495564e-08,-2.1668751908933347e-06,-0.0008644806416760373
0.22,-3.084493771405668e-09,-1.0310622264071536e-06,0.0009780619381246556
0.24,5.860196631528052e-08,1.5344740845706807e-06,-0.0007215083070268725
0.26,4.391629178429146e-08,1.943283721479004e-06,0.000762389270717705
0.28,1.1559048353542657e-07,-7.593313874647908e-07,-0.001032650781612085
0.3,1.2148905837723656e-08,-3.6710660636050065e-06,0.0007414773139980636
0.32,2.0571112805610113e-09,-1.5864101963450201e-06,-0.000533011727272065
0.34,-5.221468851158748e-08,3.6216769658841624e-07,0.0007278695165654086
0.36,3.380711953392772e-08,4.900240647996363e-06,-0.00027406222142461437
0.38,4.093742533353515e-08,-5.990313211805467e-06,-0.000814993164555569
0.4,-9.192981075387838e-08,2.004726560545946e-07,0.0014340717513415754
0.42,-1.137384661465424e-08,-2.6582682046413207e-06,-0.0017199458374111676
0.44,-8.407946749437472e-08,1.1610151651436245e-05,0.0031467878230189246
0.46,2.730492820214622e-07,-1.1188691056862022e-06,-0.004419689898731169
0.48,-1.2275773145867697e-07,-1.2936414823336774e-05,0.003237935326966113
0.5,-6.43912368207912e-08,2.248450572695285e-06,-0.0017194487873629068
0.52,-1.1660564576493282e-07,4.865425386617253e-06,0.0019811462687551037
0.54,1.1433867114682346e-07,5.0993340759779e-06,-0.0019577553998190392
0.56,-5.281246334806035e-08,-1.5693784327997983e-05,-0.00012155644057854856
0.58,-2.72453977638634e-07,-3.4309408180459254e-07,0.0016566254651978877
0.6,-1.1310920206194776e-07,8.021649848133245e-06,-0.0008201510722041045
0.62,1.3026036778670362e-07,2.866364650307226e-05,0.002884350737698006
0.64,3.951587798289802e-07,-4.64360385767831e-05,-0.010394319245683542
0.66,-9.400878081612991e-07,-3.47171858814028e-06,0.014690751244547825
0.68,4.050831508345229e-07,6.181156858017564e-05,-0.008162422527716238
0.7,3.6818499398437183e-07,-4.753363541071156e-05,-0.0027720978713724857
0.72,-4.5400975873350803e-07,-5.409633725339934e-07,0.0074713650751902436
0.74,1.7069707449670032e-07,2.0074300977696817e-05,-0.005409838640167164
0.76,3.6150632469321904e-08,-6.232181857828761e-06,0.0027791903566146085
0.78,7.498218749843251e-08,-9.50280659612197e-06,-0.0031062528304439292
0.8,-2.5760708384561676e-07,1.7975079507584235e-07,0.004074508569563711
0.82,1.2793918677744118e-07,1.6727353307669895e-05,-0.0024197483183043067
0.84,6.578445994481574e-08,-1.8580432457190536e-05,-0.001111030258181737
0.86,-1.9209854067451788e-07,9.588717403298399e-06,0.003927945244230632
0.88,1.5548223758741447e-07,-6.3197705096132575e-06,-0.005518794035521799
0.9,-2.9512222403153496e-07,2.3681213160208972e-07,0.006174452299643334
0.92,2.780952498140175e-07,2.376447381719535e-05,-0.0038216861310840103
0.94,1.4442676387160158e-07,-2.9362359214912997e-05,-0.0014909971721268232
0.96,-2.6133937052696707e-07,1.2769769991308933e-05,0.005704210092749017
0.98,3.5598047023458614e-07,1.0016335204124949e-05,-0.00597955357146742
1.0,-7.258287516977233e-08,-2.4521636504229475e-05,0.0025257564006319804
1.02,-1.588007769693196e-07,1.0853023732207063e-05,0.001011709623011673
1.04,2.07714895408062e-07,2.315420716207639e-05,0.00021840871997525846
1.06,3.285409412093414e-07,-3.0368594653713455e-05,-0.0055706889015542434
1.08,-5.174766934287669e-07,-1.0458566872746898e-05,0.007561691679650902
1.1,1.9238062317768926e-07,5.177881443995319e-05,-0.0013379535483808956
1.12,5.6446146280799e-07,-3.436596745155231e-05,-0.007276524640769656
1.14,-5.669683558823846e-07,-2.8217291492755034e-05,0.007891392236649386
1.16,-2.1755262696916497e-07,2.9933019955999167e-05,-0.002076361091773969
1.18,1.1743249170654088e-07,1.1145338807097235e-05,0.00019759297688377517
1.2,1.1888144336581329e-07,-2.4049264634141362e-05,-0.003717053321007635
1.22,-4.4261271566844406e-07,1.044938623220481e-06,0.00622647364674382
1.24,9.617744619986818e-08,1.6463910566367683e-05,-0.004684576452429102
1.26,-3.469627380932862e-08,-5.71311460982386e-06,0.002466873934809948
1.28,2.4685287586290027e-07,2.8989862322382584e-05,0.001003423758410697
1.3,3.9656488315488334e-07,-4.555716113507467e-05,-0.008458126104156423
1.32,-9.303149773875748e-07,-2.3336395769655148e-05,0.010680202640698376
1.34,-2.3825349551821378e-07,4.367998741273068e-05,-0.003978564322459792
1.36,-3.188837808684324e-08,-1.6619563986157863e-05,-0.002051390817429064
1.38,-3.4298048137260626e-07,7.089220653741914e-06,0.004422269281419042
1.4,6.619764996481552e-08,2.9755855789390283e-06,-0.004833632788899332
1.42,-4.3411365169042674e-07,-3.2661538517171093e-05,0.001269920379288322
1.44,-4.945843502273287e-07,4.3553268460923686e-05,0.0063515603185211565
1.46,6.385618374830051e-07,1.9349788049491142e-05,-0.008771908359664413
1.48,-6.466831606325477e-09,-4.7734792865737766e-05,0.002063450268141526
1.5,-4.0285086742630714e-07,1.537747767706303e-05,0.004247776786138555
1.52,1.315765248769842e-07,6.9313856299820946e-06,-0.005092385990846651
1.54,-1.9809118355536e-07,-1.238906761634932e-05,0.0031603406662135108
1.56,-1.256548103344901e-07,4.040184553694018e-06,-0.0015174154492091762
1.58,-3.1179834934595845e-07,-2.082774546701653e-05,-0.0009693775528618782
1.6,-4.6652330475582925e-07,2.8140523151171226e-05,0.005866204414680653
1.62,3.5253228541904776e-07,7.91524807708258e-06,-0.007888731922089522
1.64,-2.7643322887214954e-07,-3.128800407694954e-05,0.003968406706686311
1.66,-1.9594347971694935e-07,3.496540346031601e-05,0.0026569340470402446
1.68,3.617362866463462e-07,-1.2848182436540128e-05,-0.007438292636725859
1.7,-3.596495429831341e-07,-8.128583204083213e-06,0.007910252559971551
1.72,4.1625922365101447e-07,5.354095580357319e-05,-0.0017432986592059094
1.74,5.271085216453215e-07,-7.302153031594126e-05,-0.010912949952745535
1.76,-1.2533201044778301e-06,-1.1891733759134872e-05,0.01702592960842618
1.78,3.9921797574093255e-07,0.00010140488346682236,-0.005696267885830459
1.8,9.538964702167413e-07,-6.264531390396883e-05,-0.010708751851248664
1.82,-7.327737095023145e-07,-2.0622380637434095e-05,0.014911045177902142
1.84,3.7616902318086807e-07,5.847571939832414e-05,-0.007001235174326319
1.86,3.446156707475659e-07,-5.167208991838043e-05,-0.004013545757344139
1.88,-6.185681632279268e-07,-9.979376861216584e-07,0.009080960980570018
1.9,1.6456665412682967e-07,2.865648816975661e-05,-0.006115518394982193
1.92,-2.1674327520709298e-07,-5.33542817897797e-05,-0.002085558600971437
1.94,-8.10236434887013e-07,3.854017563728576e-05,0.011275004343677984
1.96,5.983692981664264e-07,2.1460465246664553e-05,-0.012982975382740111
1.98,-3.168957909922619e-07,-5.038094003973126e-05,0.005798834854100533
2.0,-2.590914537452162e-07,5.1444182125514076e-05,0.0043836773624239996
2.02,7.210574728965929e-07,2.972011210032073e-07,-0.009498375462875087
2.04,-1.9899266251678558e-07,-4.3618167925262334e-05,0.005106838558248537
2.06,-3.6798546794508376e-07,1.081902945379458e-05,0.0003368811796571544
2.08,-2.3921036148620323e-07,-5.6906047353286176e-06,-0.001987844598569475
2.1,-3.430792930796182e-07,1.567931571733974e-05,0.004124836643836311
2.12,3.989155239152837e-07,3.86922246761927e-05,-0.0018235457479510173
2.14,2.130459337012862e-07,-8.702943040497487e-05,-0.010748619760165737
2.16,-1.576138333141995e-06,1.3167418385114874e-05,0.020768304639174714
2.18,5.637929541331456e-07,8.697180992929421e-05,-0.013387865484756789
2.2,3.565956058002249e-07,-7.114456726095867e-05,-0.002423772234268498
2.22,-5.839568953984185e-07,2.54439816848058e-05,0.012082627128844949
2.24,9.647286564599256e-07,6.058859812069052e-05,-0.008568165485256478
2.26,9.922715464418786e-07,-3.136410789152329e-05,-0.0006271051159649019
2.28,2.849222308026867e-07,-3.710313040318318e-05,5.320286479891523e-05
2.3,-1.7882937299837737e-07,4.111491588217583e-06,0.004068259334341162
2.32,2.0647782448098086e-07,8.890503102056954e-06,-0.003590358182957225
2.34,-3.7458630407689424e-08,-1.8467892607842205e-05,0.0008545186119673105
2.36,-1.5598638919955653e-07,1.0611435277231235e-05,0.0020534141765400343
2.38,-1.0778255064023588e-07,-3.452643653596471e-05,-0.006567201357859629
2.4,-8.631992574910314e-07,2.141238062290638e-05,0.012161083073746741
2.42,7.562179534448408e-07,7.847698965710068e-05,-0.006454622170327315
2.44,6.949816354137055e-07,-0.0001015932053155985,-0.011552397326942604
2.46,-1.5256307519091015e-06,-1.4381474197798036e-05,0.02027357043872266
2.48,-1.0828707194926484e-07,3.862879600234497e-05,-0.014972543418708358
2.5,-7.894184776026907e-07,-2.970186866562025e-05,0.008139476951911834
2.52,-3.475545625132354e-07,4.428855507554047e-05,-0.0007404345777957642
2.54,2.3058547792702457e-07,5.54824169291569e-06,-0.0031335967604667146
2.56,9.186919946291504e-08,-5.679575507806678e-07,0.002521976836097079
2.58,-2.656249605230211e-09,-3.8262670619631245e-05,-0.006291448142982136
