Time(s),Displacement(inch),Velocity(inch/s),Acceleration(inch/s^2)
0,0,0,0.011785291
0.02,1.26E-06,7.12E-05,-0.004660594
0.04,2.29E-06,5.82E-05,0.003356129
0.06,2.33E-06,-0.000143309,-0.023507286
0.08,-1.27E-06,-1.80E-05,0.036039774
0.1,1.71E-06,0.000121886,-0.022052739
0.12,1.16E-06,-0.000105613,-0.000697177
0.14,-4.60E-07,-2.50E-05,0.008761211
0.16,8.55E-08,4.42E-05,-0.001843161
0.18,1.49E-06,0.000140406,0.011463036
0.2,3.56E-06,-8.53E-05,-0.034034689
0.22,-1.21E-07,-4.06E-05,0.038506396
0.24,2.31E-06,6.04E-05,-0.028405854
0.26,1.73E-06,7.65E-05,0.030015342
0.28,4.55E-06,-2.99E-05,-0.040655565
0.3,4.78E-07,-0.00014453,0.029192036
0.32,8.10E-08,-6.25E-05,-0.020984725
0.34,-2.06E-06,1.43E-05,0.028656296
0.36,1.33E-06,0.000192923,-0.010789857
0.38,1.61E-06,-0.000235839,-0.032086362
0.4,-3.62E-06,7.89E-06,0.056459548
0.42,-4.48E-07,-0.000104656,-0.06771444
0.44,-3.31E-06,0.000457093,0.123889351
0.46,1.07E-05,-4.40E-05,-0.174003633
0.48,-4.83E-06,-0.000509308,0.127477838
0.5,-2.54E-06,8.85E-05,-0.067694871
0.52,-4.59E-06,0.000191552,0.077997927
0.54,4.50E-06,0.000200761,-0.077077026
0.56,-2.08E-06,-0.000617866,-0.004785689
0.58,-1.07E-05,-1.35E-05,0.06522151
0.6,-4.45E-06,0.000315813,-0.03228943
0.62,5.13E-06,0.001128491,0.113557177
0.64,1.56E-05,-0.001828191,-0.409225388
0.66,-3.70E-05,-0.000136682,0.578376346
0.68,1.59E-05,0.002433528,-0.321355391
0.7,1.45E-05,-0.001871404,-0.10913777
0.72,-1.79E-05,-2.13E-05,0.29414839
0.74,6.72E-06,0.000790327,-0.212985888
0.76,1.42E-06,-0.000245362,0.109417002
0.78,2.95E-06,-0.000374126,-0.122293485
