Time(s),Displacement(inch),Velocity(inch/s),Acceleration(inch/s^2)
0.0,0.0,0.0,0.00037942432399291264
0.02,8.813880148170658e-08,9.426576982326863e-06,0.0005632333742397734
0.04,4.390190188716101e-07,2.814654490143408e-05,0.0013087634176709476
0.06,1.2016165825941098e-06,4.500891057879731e-05,0.00037747315006537405
0.08,2.1786973021440597e-06,5.276955527424414e-05,0.00039859131947930754
0.1,3.3024709330289305e-06,5.9041020889449275e-05,0.0002285552420412048
0.12,4.542892362974291e-06,6.569562029249346e-05,0.00043690469826321114
0.14,5.909929149159011e-06,6.929523036008879e-05,-7.694369150368008e-05
0.16,7.279320556541085e-06,6.75876873021704e-05,-9.381061428815775e-05
0.18,8.689297848130871e-06,7.725932527700853e-05,0.0010609744117719697
0.2,1.0414187061981398e-05,9.360498740584221e-05,0.000573591801111398
0.22,1.2421548149734692e-05,0.00010815827034019597,0.0008817364923239682
0.24,1.4710568375155355e-05,0.00011821912820946757,0.00012434929460318606
0.26,1.7195886935973203e-05,0.00013511603475771018,0.001565341360221068
0.28,2.0157193384715766e-05,0.0001583104841937532,0.0007541035833832276
0.3,2.346830993448594e-05,0.00017250547824418814,0.0006653958216602542
0.32,2.6937134581325552e-05,0.00016865878232096267,-0.001050065413982796
0.34,3.0128546325786074e-05,0.00015189485116698083,-0.000626327701415399
0.36,3.308193010978449e-05,0.00014548114227995384,-1.5043187287303631e-05
0.38,3.5935688348979664e-05,0.000137251883192242,-0.000807882721483888
0.4,3.8527577995064224e-05,0.00012235850774303808,-0.0006814548234365006
0.42,4.0690898212402376e-05,8.659556534901334e-05,-0.0028948394159659767
0.44,4.2154669213061156e-05,7.53229135604497e-05,0.0017675742371096065
0.46,4.387075233026724e-05,8.909089808891799e-05,-0.00039077578426278096
0.48,4.5631148649227785e-05,8.978540950887272e-05,0.00046022692625825314
0.5,4.7227348773692985e-05,5.525693038945206e-05,-0.003913074838200325
0.52,4.777904244235428e-05,1.137093790229298e-05,-0.0004755244105155851
0.54,4.7909065072219956e-05,1.5167627804216917e-06,-0.0005098931016715448
0.56,4.7727045910201184e-05,-2.5237468846944513e-05,-0.0021655300610650755
0.58,4.666311940688061e-05,-8.745873719354692e-05,-0.004056596773595163
0.6,4.413795619455555e-05,-0.00016329103972571288,-0.0035266334796214263
0.62,4.082246327247431e-05,-0.00013547552406454586,0.006308185045738139
0.64,3.855791921618317e-05,-0.00013181241077196004,-0.005941873716479553
0.66,3.500778216079841e-05,-0.0002094769995989989,-0.001824585166224325
0.68,3.055172843732757e-05,-0.00023120820766038563,-0.00034853563991433205
0.7,2.6066125309301273e-05,-0.00020693869748402972,0.0027754866575499413
0.72,2.2269492325353228e-05,-0.00018337241919964644,-0.00041885882911159853
0.74,1.8370706180562352e-05,-0.00021388449502822288,-0.002632348753746038
0.76,1.3998152773971337e-05,-0.00020179053339474594,0.003841744917093738
0.78,1.0312719961643978e-05,-0.0001876513042305493,-0.0024278220006740603
0.8,6.2180218438533825e-06,-0.0002146238892007502,-0.00026943649634602387
0.82,1.9032916276090244e-06,-0.0002152673890716933,0.00020508650925172585
0.84,-2.392771005815909e-06,-0.0002159254819628707,-0.00027089579836946277
0.86,-6.66329024256464e-06,-0.00020601796360287373,0.0012616476343691718
0.88,-1.0836121625104059e-05,-0.00022650525651885718,-0.003310376925967513
0.9,-1.5689051104753945e-05,-0.00024182513965009342,0.0017783886128439014
0.92,-2.015470309353965e-05,-0.00020398140514610788,0.0020059848375546595
