Time (s),Avg Acc Displacement (in),Avg Acc Velocity (in/s),Avg Acc Acceleration (in/s2),Lin Acc Displacement (in),Lin Acc Velocity (in/s),Lin Acc Acceleration (in/s2),Central Diff Displacement (in),Central Diff Velocity (in/s),Central Diff Acceleration (in/s2),Wilson's Displacement (in),Wilson's Velocity (in/s),Wilson's Acceleration (in/s2)
0.01,0,0,-96.525,0,0,-96.525,0,0,-96.525,0,0,-37.26733725
0.02,-0.004584852,-0.916970421,-86.86908429,-0.004664328,-0.916673466,-86.8096933,0,-0.467050643,-93.41012865,-0.001667459,-0.343287255,-31.39011368
0.03,-0.017712594,-1.708577962,-71.45242381,-0.017913159,-1.707253826,-71.30637854,-0.009341013,-1.33610658,-80.40105865,-0.006460946,-0.625854593,-25.12335392
0.04,-0.037878957,-2.324694728,-51.77092933,-0.038221382,-2.321427224,-51.52830122,-0.026722132,-2.049228763,-62.22337803,-0.013725884,-0.839621849,-17.63009745
0.05,-0.063158643,-2.731242344,-29.53859395,-0.06364006,-2.725107522,-29.20775835,-0.050325588,-2.563190921,-40.56905354,-0.022735588,-0.975719877,-9.58950803
0.06,-0.09137323,-2.911675022,-6.547941735,-0.091967298,-2.901917694,-6.154275928,-0.07798595,-2.852439464,-17.28065505,-0.032706218,-1.031708296,-1.608175865
0.07,-0.120267017,-2.867082515,15.46644313,-0.120926886,-2.853269707,15.88387318,-0.107374377,-2.909862458,5.796056131,-0.042857957,-1.010927194,5.764396296
0.08,-0.147677394,-2.614992848,34.95149041,-0.148341041,-2.597126329,35.3448025,-0.136183199,-2.74613086,26.9502635,-0.052468799,-0.921751739,12.07069474
0.09,-0.171687584,-2.187045029,50.6380733,-0.172284871,-2.165620259,50.9564116,-0.162296995,-2.387753382,44.72523205,-0.060919517,-0.776555142,16.96862472
0.1,-0.190751679,-1.625774068,61.61611886,-0.19121233,-1.601779173,61.81180552,-0.183938267,-1.874073378,58.01076885,-0.067727429,-0.590487656,20.24487232
0.11,-0.203784551,-0.980800372,67.37862044,-0.204046179,-0.955655389,67.4129512,-0.199778462,-1.253500435,66.10381976,-0.072567621,-0.380172765,21.81810591
0.12,-0.210212257,-0.304740802,67.83329353,-0.210227611,-0.280183767,67.68137325,-0.209008276,-0.579307684,68.73473051,-0.07528129,-0.162418664,21.73271436
0.13,-0.209981756,0.350841016,63.28307019,-0.20972445,0.372909104,62.93720095,-0.211364616,0.094663098,66.05942573,-0.075871786,0.046966766,20.14437166
0.14,-0.203531798,0.939150553,54.3788371,-0.20299995,0.95684576,53.85013026,-0.207115014,0.718061677,58.62029009,-0.074489739,0.234184471,17.29916925
0.15,-0.191729581,1.421292953,42.04964287,-0.190947026,1.432934965,41.36771084,-0.197003382,1.247566601,47.28069468,-0.071409297,0.388222053,13.5083472
0.16,-0.175779987,1.768625776,27.4169218,-0.174794958,1.772912001,26.62769634,-0.182163682,1.649668886,33.1397624,-0.066997911,0.50136768,9.120778131
0.17,-0.157115805,1.964210581,11.70003924,-0.155997215,1.9603602,10.86194332,-0.164010005,1.902542784,17.43501712,-0.061682378,0.569448167,4.495319319
0.18,-0.137278183,2.003313964,-3.879362751,-0.136109891,1.99116737,-4.70050932,-0.144112826,1.996922737,1.440973474,-0.055913808,0.591799598,-0.025033149
0.19,-0.117796705,1.892981518,-18.18712639,-0.1166703,1.87304495,-18.92397469,-0.12407155,1.935985141,-13.62849263,-0.050134081,0.57099666,-4.135554435
0.2,-0.100077924,1.650774713,-30.25423465,-0.099084716,1.624205122,-30.84399078,-0.105393123,1.734307973,-26.70694098,-0.044745958,0.5123813,-7.58751756
0.21,-0.085309969,1.302816373,-39.33743326,-0.084532925,1.271347212,-39.72759133,-0.08938539,1.416045545,-36.94554465,-0.040088618,0.423441576,-10.20042723
0.22,-0.074389227,0.881331954,-44.95945054,-0.073895583,0.847146014,-45.11264826,-0.077072212,1.01250544,-43.76247633,-0.036419823,0.313097408,-11.86840635
0.23,-0.067873073,0.421898916,-46.92715718,-0.06770829,0.387459193,-46.82471584,-0.069135282,0.559347283,-46.86915505,-0.033905349,0.19095128,-12.56081924
0.24,-0.065960456,-0.039375528,-45.32773147,-0.066144048,-0.071522224,-44.97156769,-0.065885267,0.093637082,-46.27288507,-0.032615771,0.066559142,-12.31760842
0.25,-0.068500017,-0.468536709,-40.50450477,-0.06902361,-0.495966321,-39.91725169,-0.06726254,-0.349013411,-42.25721355,-0.032530144,-0.051229633,-11.24014649
0.26,-0.075023385,-0.836136965,-33.01554654,-0.075851163,-0.856746997,-32.23888349,-0.072865535,-0.737014043,-35.34291287,-0.033545731,-0.154823584,-9.478643811
0.27,-0.084799621,-1.119110301,-23.57912065,-0.085871103,-1.131293755,-22.67046804,-0.082002821,-1.044897376,-26.2337537,-0.035492521,-0.238303295,-7.217298225
0.28,-0.096905474,-1.302060134,-13.01084583,-0.098140368,-1.304839707,-12.03872241,-0.093763482,-1.254826658,-15.75210282,-0.038151123,-0.297681901,-4.658422984
0.29,-0.110305289,-1.377902842,-2.157695802,-0.111609992,-1.371014053,-1.196146682,-0.107099354,-1.357436248,-4.769815026,-0.041272474,-0.331007757,-2.006748329
0.3,-0.123934106,-1.347860724,8.166119329,-0.125209278,-1.331777078,9.043541591,-0.120912207,-1.351984758,5.860112961,-0.04459783,-0.33831636,0.545027692
0.31,-0.13677764,-1.220846099,17.23680575,-0.137926215,-1.196744396,17.96299475,-0.134139049,-1.245853852,15.36606816,-0.047877625,-0.321448484,2.828547582
0.32,-0.147943472,-1.012320304,24.46835332,-0.148878425,-0.981989231,24.98803838,-0.145829284,-1.053472362,23.11022999,-0.05088799,-0.283759248,4.709299645
0.33,-0.156718797,-0.742744565,29.44679433,-0.157370034,-0.70844442,29.7209237,-0.155208496,-0.79478322,28.62759843,-0.053443997,-0.229748187,6.092912461
0.34,-0.162611331,-0.435762237,31.94967125,-0.16293114,-0.40004761,31.95843846,-0.161724949,-0.493397284,31.64958869,-0.055408994,-0.16464317,6.928090917
0.35,-0.165371456,-0.11626277,31.95022219,-0.165338093,-0.081782893,31.69450485,-0.165076442,-0.174592214,32.11142538,-0.056699748,-0.093971251,7.206292909
0.36,-0.164995154,0.191523068,29.60694552,-0.164614304,0.222229939,29.10806146,-0.165216793,0.136684059,30.14382914,-0.057287407,-0.02314747,6.958463428
0.37,-0.161708744,0.465758973,25.24023537,-0.161012768,0.490460556,24.538062,-0.162342761,0.417656358,26.05063078,-0.057194597,0.042891441,6.249318707
0.38,-0.155937683,0.688453255,19.29862105,-0.154982756,0.705392151,18.44825709,-0.156863666,0.649283983,20.27489404,-0.0564892,0.099987029,5.169798916
0.39,-0.148262741,0.846535089,12.31774585,-0.147124143,0.854558487,11.38501006,-0.149357081,0.817442553,13.35682013,-0.055275554,0.144977921,3.828379375
0.4,-0.139367558,0.93250159,4.875554282,-0.138133529,0.931142059,3.931704255,-0.140514815,0.913662205,5.887110262,-0.053683904,0.175829554,2.341947284
0.41,-0.129981973,0.944615438,-2.452784684,-0.128746663,0.934117201,-3.336675705,-0.131083837,0.935395579,-1.540435628,-0.051859012,0.191673877,0.826917381
0.42,-0.12082556,0.886667041,-9.13689475,-0.119681638,0.867956586,-9.895447476,-0.121806903,0.885825938,-8.373492397,-0.049948785,0.192764377,-0.608817496
0.43,-0.112555494,0.767346259,-14.72726155,-0.111587016,0.741950595,-15.30575061,-0.113367318,0.773259441,-14.13980712,-0.048093709,0.180357205,-1.872616793
