Time (s),Avg Acc Displacement (in),Lin Acc Displacement (in),Central Diff Displacement (in),Wilson's Displacement (in),Time (s),Avg Acc Velocity (in/s),Lin Acc Velocity (in/s),Central Diff Velocity (in/s),Wilson's Velocity (in/s),Time (s),Avg Acc Acceleration (in/s2),Lin Acc Acceleration (in/s2),Central Diff Acceleration (in/s2),Wilson's Acceleration (in/s2)
0.01,0,0,0,0,0,0,0,0,0,0,-96.525,-96.525,-96.525,-37.26733725
0.02,-0.004584852,-0.004664328,0,-0.001667459,0.01,-0.916970421,-0.916673466,-0.467050643,-0.343287255,0.01,-86.86908429,-86.8096933,-93.41012865,-31.39011368
0.03,-0.017712594,-0.017913159,-0.009341013,-0.006460946,0.02,-1.708577962,-1.707253826,-1.33610658,-0.625854593,0.02,-71.45242381,-71.30637854,-80.40105865,-25.12335392
0.04,-0.037878957,-0.038221382,-0.026722132,-0.013725884,0.03,-2.324694728,-2.321427224,-2.049228763,-0.839621849,0.03,-51.77092933,-51.52830122,-62.22337803,-17.63009745
0.05,-0.063158643,-0.06364006,-0.050325588,-0.022735588,0.04,-2.731242344,-2.725107522,-2.563190921,-0.975719877,0.04,-29.53859395,-29.20775835,-40.56905354,-9.58950803
0.06,-0.09137323,-0.091967298,-0.07798595,-0.032706218,0.05,-2.911675022,-2.901917694,-2.852439464,-1.031708296,0.05,-6.547941735,-6.154275928,-17.28065505,-1.608175865
0.07,-0.120267017,-0.120926886,-0.107374377,-0.042857957,0.06,-2.867082515,-2.853269707,-2.909862458,-1.010927194,0.06,15.46644313,15.88387318,5.796056131,5.764396296
0.08,-0.147677394,-0.148341041,-0.136183199,-0.052468799,,-2.614992848,-2.597126329,-2.74613086,-0.921751739,,34.95149041,35.3448025,26.9502635,12.07069474
0.09,-0.171687584,-0.172284871,-0.162296995,-0.060919517,,-2.187045029,-2.165620259,-2.387753382,-0.776555142,,50.6380733,50.9564116,44.72523205,16.96862472
0.1,-0.190751679,-0.19121233,-0.183938267,-0.067727429,,-1.625774068,-1.601779173,-1.874073378,-0.590487656,,61.61611886,61.81180552,58.01076885,20.24487232
0.11,-0.203784551,-0.204046179,-0.199778462,-0.072567621,,-0.980800372,-0.955655389,-1.253500435,-0.380172765,,67.37862044,67.4129512,66.10381976,21.81810591
0.12,-0.210212257,-0.210227611,-0.209008276,-0.07528129,,-0.304740802,-0.280183767,-0.579307684,-0.162418664,,67.83329353,67.68137325,68.73473051,21.73271436
0.13,-0.209981756,-0.20972445,-0.211364616,-0.075871786,,0.350841016,0.372909104,0.094663098,0.046966766,,63.28307019,62.93720095,66.05942573,20.14437166
0.14,-0.203531798,-0.20299995,-0.207115014,-0.074489739,,0.939150553,0.95684576,0.718061677,0.234184471,,54.3788371,53.85013026,58.62029009,17.29916925
0.15,-0.191729581,-0.190947026,-0.197003382,-0.071409297,,1.421292953,1.432934965,1.247566601,0.388222053,,42.04964287,41.36771084,47.28069468,13.5083472
0.16,-0.175779987,-0.174794958,-0.182163682,-0.066997911,,1.768625776,1.772912001,1.649668886,0.50136768,,27.4169218,26.62769634,33.1397624,9.120778131
0.17,-0.157115805,-0.155997215,-0.164010005,-0.061682378,,1.964210581,1.9603602,1.902542784,0.569448167,,11.70003924,10.86194332,17.43501712,4.495319319
0.18,-0.137278183,-0.136109891,-0.144112826,-0.055913808,,2.003313964,1.99116737,1.996922737,0.591799598,,-3.879362751,-4.70050932,1.440973474,-0.025033149
0.19,-0.117796705,-0.1166703,-0.12407155,-0.050134081,,1.892981518,1.87304495,1.935985141,0.57099666,,-18.18712639,-18.92397469,-13.62849263,-4.135554435
0.2,-0.100077924,-0.099084716,-0.105393123,-0.044745958,,1.650774713,1.624205122,1.734307973,0.5123813,,-30.25423465,-30.84399078,-26.70694098,-7.58751756
0.21,-0.085309969,-0.084532925,-0.08938539,-0.040088618,,1.302816373,1.271347212,1.416045545,0.423441576,,-39.33743326,-39.72759133,-36.94554465,-10.20042723
0.22,-0.074389227,-0.073895583,-0.077072212,-0.036419823,,0.881331954,0.847146014,1.01250544,0.313097408,,-44.95945054,-45.11264826,-43.76247633,-11.86840635
0.23,-0.067873073,-0.06770829,-0.069135282,-0.033905349,,0.421898916,0.387459193,0.559347283,0.19095128,,-46.92715718,-46.82471584,-46.86915505,-12.56081924
0.24,-0.065960456,-0.066144048,-0.065885267,-0.032615771,,-0.039375528,-0.071522224,0.093637082,0.066559142,,-45.32773147,-44.97156769,-46.27288507,-12.31760842
0.25,-0.068500017,-0.06902361,-0.06726254,-0.032530144,,-0.468536709,-0.495966321,-0.349013411,-0.051229633,,-40.50450477,-39.91725169,-42.25721355,-11.24014649
0.26,-0.075023385,-0.075851163,-0.072865535,-0.033545731,,-0.836136965,-0.856746997,-0.737014043,-0.154823584,,-33.01554654,-32.23888349,-35.34291287,-9.478643811
0.27,-0.084799621,-0.085871103,-0.082002821,-0.035492521,,-1.119110301,-1.131293755,-1.044897376,-0.238303295,,-23.57912065,-22.67046804,-26.2337537,-7.217298225
0.28,-0.096905474,-0.098140368,-0.093763482,-0.038151123,,-1.302060134,-1.304839707,-1.254826658,-0.297681901,,-13.01084583,-12.03872241,-15.75210282,-4.658422984
0.29,-0.110305289,-0.111609992,-0.107099354,-0.041272474,,-1.377902842,-1.371014053,-1.357436248,-0.331007757,,-2.157695802,-1.196146682,-4.769815026,-2.006748329
0.3,-0.123934106,-0.125209278,-0.120912207,-0.04459783,,-1.347860724,-1.331777078,-1.351984758,-0.33831636,,8.166119329,9.043541591,5.860112961,0.545027692
0.31,-0.13677764,-0.137926215,-0.134139049,-0.047877625,,-1.220846099,-1.196744396,-1.245853852,-0.321448484,,17.23680575,17.96299475,15.36606816,2.828547582
0.32,-0.147943472,-0.148878425,-0.145829284,-0.05088799,,-1.012320304,-0.981989231,-1.053472362,-0.283759248,,24.46835332,24.98803838,23.11022999,4.709299645
0.33,-0.156718797,-0.157370034,-0.155208496,-0.053443997,,-0.742744565,-0.70844442,-0.79478322,-0.229748187,,29.44679433,29.7209237,28.62759843,6.092912461
0.34,-0.162611331,-0.16293114,-0.161724949,-0.055408994,,-0.435762237,-0.40004761,-0.493397284,-0.16464317,,31.94967125,31.95843846,31.64958869,6.928090917
0.35,-0.165371456,-0.165338093,-0.165076442,-0.056699748,,-0.11626277,-0.081782893,-0.174592214,-0.093971251,,31.95022219,31.69450485,32.11142538,7.206292909
0.36,-0.164995154,-0.164614304,-0.165216793,-0.057287407,,0.191523068,0.222229939,0.136684059,-0.02314747,,29.60694552,29.10806146,30.14382914,6.958463428
0.37,-0.161708744,-0.161012768,-0.162342761,-0.057194597,,0.465758973,0.490460556,0.417656358,0.042891441,,25.24023537,24.538062,26.05063078,6.249318707
